"checking_acc_numeric","time_credit_acc","credit_history_numeric","purpose_numeric","amount","savings_acc_numeric","p_employment_time_numeric","installment_rate","marita_status_sex_numeric","other_debtors_numeric","p_residence_time","property_numeric","age","other_installment_numeric","housing_numeric","number_of_credits","job_numeric","dependants","has_phone_numeric","foreign_worker_numeric","is_good"
1,6,3,1,1169,0,5,4,1,1,4,4,67,0,1,2,3,1,1,1,1
2,48,4,1,5951,1,3,2,2,1,2,4,22,0,1,1,3,1,0,1,2
4,12,3,6,2096,1,4,2,1,1,3,4,49,0,1,1,2,2,0,1,1
1,42,4,3,7882,1,4,2,1,2,4,3,45,0,0,1,3,2,0,1,1
1,24,2,2,4870,1,3,3,1,1,4,0,53,0,0,2,3,2,0,1,2
4,36,4,6,9055,0,3,2,1,1,4,0,35,0,0,1,2,2,1,1,1
4,24,4,3,2835,3,5,3,1,1,4,3,53,0,1,1,3,1,0,1,1
2,36,4,4,6948,1,3,2,1,1,2,2,35,0,2,1,4,1,1,1,1
4,12,4,1,3059,4,4,2,4,1,4,4,61,0,1,1,2,1,0,1,1
2,30,3,2,5234,1,1,4,3,1,2,2,28,0,1,2,4,1,0,1,2
2,12,4,2,1295,1,2,3,2,1,1,2,25,0,2,1,3,1,0,1,2
1,48,4,5,4308,1,2,3,2,1,4,3,24,0,2,1,3,1,0,1,2
2,12,4,1,1567,1,3,1,2,1,1,2,22,0,1,1,3,1,1,1,1
1,24,3,2,1199,1,5,4,1,1,4,2,60,0,1,2,2,1,0,1,2
1,15,4,2,1403,1,3,2,2,1,4,2,28,0,2,1,3,1,0,1,1
1,24,4,1,1282,2,3,4,2,1,2,2,32,0,1,1,2,1,0,1,2
4,24,3,1,2424,0,5,4,1,1,4,3,53,0,1,2,3,1,0,1,1
1,30,0,5,8072,0,2,2,1,1,3,2,25,2,1,3,3,1,0,1,1
2,24,4,4,12579,1,5,4,2,1,2,0,44,0,0,1,4,1,1,1,2
4,24,4,1,3430,3,5,3,1,1,2,2,31,0,1,1,3,2,1,1,1
4,9,3,2,2134,1,3,4,1,1,4,2,48,0,1,3,3,1,1,1,1
1,6,4,1,2647,3,3,2,1,1,3,4,44,0,2,1,3,2,0,1,1
1,10,3,2,2241,1,2,1,1,1,3,4,48,0,2,2,2,2,0,0,1
2,12,3,4,1804,2,2,3,1,1,4,3,44,0,1,1,3,1,0,1,1
4,10,3,3,2069,0,3,2,3,1,1,2,26,0,1,2,3,1,0,0,1
1,6,4,3,1374,1,3,1,1,1,2,4,36,2,1,1,2,1,1,1,1
4,6,0,1,426,1,5,4,3,1,4,2,39,0,1,1,2,1,0,1,1
3,12,1,1,409,4,3,3,2,1,3,4,42,0,2,2,3,1,0,1,1
2,7,4,1,2415,1,3,3,1,2,2,4,34,0,1,1,3,1,0,1,1
1,60,2,5,6836,1,5,3,1,1,4,0,63,0,1,2,3,1,1,1,2
2,18,4,5,1913,4,2,3,3,1,3,4,36,2,1,1,3,1,1,1,1
1,24,4,3,4020,1,3,2,1,1,2,2,27,1,1,1,3,1,0,1,1
2,18,4,2,5866,2,3,2,1,1,2,2,30,0,1,2,3,1,1,1,1
4,12,3,5,1264,0,5,4,1,1,4,0,57,0,2,1,2,1,0,1,1
3,12,4,3,1474,1,2,4,2,1,1,3,33,2,1,1,4,1,1,1,1
2,45,3,1,4746,1,2,4,1,1,2,3,25,0,1,2,2,1,0,1,2
4,48,3,6,6110,1,3,1,1,1,3,0,31,2,0,1,3,1,1,1,1
3,18,4,1,2100,1,3,4,1,3,2,4,37,1,1,1,3,1,0,1,2
3,10,4,10,1225,1,3,2,1,1,2,2,37,0,1,1,3,1,1,1,1
2,9,4,1,458,1,3,4,1,1,3,4,24,0,1,1,3,1,0,1,1
4,30,4,1,2333,3,5,4,1,1,2,2,30,2,1,1,4,1,0,1,1
2,12,4,1,1158,3,3,3,4,1,1,2,26,0,1,1,3,1,1,1,1
2,18,2,7,6204,1,3,2,1,1,4,4,44,0,1,1,2,2,1,1,1
1,30,3,4,6187,2,4,1,3,1,4,2,24,0,2,2,3,1,0,1,1
1,48,3,4,6143,1,5,4,2,1,4,0,58,1,0,2,2,1,0,1,2
4,11,3,2,1393,1,2,4,2,1,4,2,35,0,1,2,4,1,0,1,1
4,36,4,1,2299,3,5,4,1,1,4,2,39,0,1,1,3,1,0,1,1
1,6,4,4,1352,3,1,1,2,1,2,3,23,0,2,1,1,1,1,1,1
4,11,3,2,7228,1,3,1,1,1,4,3,39,0,1,2,2,1,0,1,1
4,12,4,1,2073,2,3,4,2,3,2,4,28,0,1,1,3,1,0,1,1
2,24,2,3,2333,0,2,4,1,1,2,3,29,2,1,1,2,1,0,1,1
2,27,2,4,5965,1,5,1,1,1,2,2,30,0,1,2,4,1,1,1,1
4,12,4,1,1262,1,3,3,1,1,2,2,25,0,1,1,3,1,0,1,1
4,18,4,4,3378,0,3,2,1,1,1,3,31,0,1,1,3,1,1,1,1
2,36,2,2,2225,1,5,4,1,1,4,0,57,2,0,2,3,1,1,1,2
4,6,1,2,783,0,3,1,1,2,2,4,26,1,1,1,2,2,0,1,1
2,12,4,1,6468,0,1,2,1,1,1,0,52,0,1,1,4,1,1,1,2
4,36,3,1,9566,1,3,2,2,1,2,2,31,1,1,2,3,1,0,1,1
3,18,4,2,1961,1,5,3,2,1,2,2,23,0,1,1,4,1,0,1,1
1,36,3,3,6229,1,2,4,2,3,4,0,23,0,2,2,2,1,1,1,2
2,9,4,5,1391,1,3,2,3,1,1,4,27,2,1,1,3,1,1,1,1
2,15,3,1,1537,0,5,4,1,2,4,4,50,0,1,2,3,1,1,1,1
2,36,0,5,1953,1,5,4,1,1,4,0,61,0,0,1,4,1,1,1,2
2,48,0,5,14421,1,3,2,1,1,2,2,25,0,1,1,3,1,1,1,2
4,24,4,1,3181,1,2,4,2,1,4,3,26,0,1,1,3,1,1,1,1
4,27,4,7,5190,0,5,4,1,1,4,3,48,0,1,4,3,2,1,1,1
4,12,4,1,2171,1,2,2,2,1,2,2,29,2,1,1,3,1,0,1,1
2,12,4,2,1007,4,3,4,3,1,1,4,22,0,1,1,3,1,0,1,1
4,36,4,6,1819,1,3,4,1,1,4,0,37,1,0,1,3,1,1,1,2
4,36,4,1,2394,0,3,4,2,1,4,2,25,0,1,1,3,1,0,1,1
4,36,4,4,8133,1,3,1,2,1,2,3,30,2,1,1,3,1,0,1,1
4,7,3,1,730,0,5,4,1,1,2,3,46,0,2,2,2,1,1,1,1
1,8,3,11,1164,1,5,3,1,1,4,0,51,2,0,2,4,2,1,1,1
2,42,3,5,5954,1,4,2,2,1,1,4,41,2,1,2,2,1,0,1,1
1,36,4,6,1977,0,5,4,1,1,4,0,40,0,1,1,4,1,1,1,2
