,checking_acc_numeric,time_credit_acc,credit_history_numeric,purpose_numeric,amount,savings_acc_numeric,p_employment_time_numeric,installment_rate,marita_status_sex_numeric,other_debtors_numeric,p_residence_time,property_numeric,age,other_installment_numeric,housing_numeric,number_of_credits,job_numeric,dependants,has_phone_numeric,foreign_worker_numeric,is_good,nearest_neighbors,random_forest
507,2,15,1,2,6850,2,1,1,1,1,2,3,34,0,1,1,4,2,1,1,2,0.7,0.29
818,1,36,4,11,15857,1,1,2,4,3,3,2,43,0,1,1,4,1,0,1,1,0.4,0.74
452,4,12,0,3,2759,1,5,2,1,1,4,3,34,0,1,2,3,1,0,1,1,1.0,0.7475
368,1,36,4,3,3446,1,5,4,1,1,2,2,42,0,1,1,3,2,0,1,2,0.5,0.175
242,1,48,0,4,4605,1,5,3,1,1,4,0,24,0,0,2,3,2,0,1,2,0.4,0.0925
929,1,12,2,2,1344,1,3,4,1,1,2,4,43,0,1,2,2,2,0,1,1,0.8,0.87
262,1,18,3,2,5302,1,5,2,1,1,4,0,36,0,0,3,4,1,1,1,1,0.3,0.9
810,2,8,4,5,907,1,2,3,3,1,2,4,26,0,1,1,3,1,1,1,1,0.7,0.7975
318,4,12,3,6,701,1,3,4,1,1,2,2,32,0,1,2,3,1,0,1,1,1.0,0.885
49,4,12,4,1,2073,2,3,4,2,3,2,4,28,0,1,1,3,1,0,1,1,0.9,0.935
446,1,36,4,2,1842,1,2,4,2,1,4,2,34,0,1,1,3,1,1,1,2,0.6,0.1825
142,1,27,4,1,3416,1,3,3,1,1,2,2,27,0,1,1,4,1,0,1,1,0.6,0.855
968,4,42,4,1,7166,0,4,2,3,1,4,3,29,0,2,1,3,1,1,1,1,1.0,0.8475
345,4,15,3,1,1459,1,3,4,2,1,2,2,43,0,1,1,2,1,0,1,1,0.9,0.865
971,4,24,4,2,7393,1,3,1,1,1,4,3,43,0,1,1,2,2,0,1,1,0.9,0.89
133,4,18,4,3,1984,1,3,4,1,1,4,0,47,2,0,2,3,1,0,1,1,0.7,0.775
104,4,12,4,4,2445,0,2,2,3,1,4,2,26,0,2,1,3,1,1,1,1,0.8,0.8575
6,4,24,4,3,2835,3,5,3,1,1,4,3,53,0,1,1,3,1,0,1,1,1.0,0.9525
600,2,7,4,1,2329,1,2,1,2,2,1,4,45,0,1,1,3,1,0,1,1,0.8,0.9325
496,2,36,4,3,9034,2,2,4,1,3,1,0,29,0,2,1,4,1,1,1,2,0.4,0.2125
702,3,24,4,1,1377,2,5,4,2,1,2,0,47,0,0,1,3,1,1,1,1,0.8,0.97
472,1,9,4,2,654,1,3,4,1,1,3,2,28,0,1,1,2,1,0,1,2,0.4,0.24
598,4,18,3,2,2775,1,4,2,1,1,2,3,31,2,1,2,3,1,0,1,2,0.8,0.32
502,3,9,4,1,1126,2,5,2,4,1,4,4,49,0,1,1,3,1,0,1,1,0.7,0.96
433,4,24,3,7,2058,1,3,4,4,1,2,4,33,0,1,2,3,1,1,1,1,0.7,0.9925
119,2,12,3,2,2366,3,4,3,4,1,3,2,36,0,1,1,4,1,1,1,1,0.4,0.9875
108,1,24,4,3,7721,0,2,1,2,1,2,3,30,0,1,1,3,1,1,0,1,0.7,0.8125
647,4,12,4,2,1386,3,3,2,2,1,2,3,26,0,1,1,3,1,0,1,2,0.9,0.36
