Africa_Life Expentancy [in years],Africa_text,Africa_marker.size,Africa_Gross Domestic Product per Capita [in USD of the year 2000],Americas_Life Expentancy [in years],Americas_text,Americas_marker.size,Americas_Gross Domestic Product per Capita [in USD of the year 2000],Asia_Life Expentancy [in years],Asia_text,Asia_marker.size,Asia_Gross Domestic Product per Capita [in USD of the year 2000],Europe_Life Expentancy [in years],Europe_text,Europe_marker.size,Europe_Gross Domestic Product per Capita [in USD of the year 2000],Oceania_Life Expentancy [in years],Oceania_text,Oceania_marker.size,Oceania_Gross Domestic Product per Capita [in USD of the year 2000]
72.301,Country: Algeria    <br>Life Expectancy: 72.301 years    <br>GDP per capita: 6223.367465 $    <br>Population: 33.333216 million,33333216.0,6223.367465,75.32,Country: Argentina    <br>Life Expectancy: 75.32 years    <br>GDP per capita: 12779.37964 $    <br>Population: 40.301927 million,40301927.0,12779.37964,43.828,Country: Afghanistan    <br>Life Expectancy: 43.828 years    <br>GDP per capita: 974.5803384 $    <br>Population: 31.889923 million,31889923.0,974.5803384,76.423,Country: Albania    <br>Life Expectancy: 76.423 years    <br>GDP per capita: 5937.029526 $    <br>Population: 3.600523 million,3600523.0,5937.029526,81.235,Country: Australia    <br>Life Expectancy: 81.235 years    <br>GDP per capita: 34435.36744 $    <br>Population: 20.434176 million,20434176.0,34435.36744
42.731,Country: Angola    <br>Life Expectancy: 42.731 years    <br>GDP per capita: 4797.231267 $    <br>Population: 12.420476 million,12420476.0,4797.231267,65.554,Country: Bolivia    <br>Life Expectancy: 65.554 years    <br>GDP per capita: 3822.137084 $    <br>Population: 9.119152 million,9119152.0,3822.137084,75.635,Country: Bahrain    <br>Life Expectancy: 75.635 years    <br>GDP per capita: 29796.04834 $    <br>Population: 0.708573 million,708573.0,29796.04834,79.829,Country: Austria    <br>Life Expectancy: 79.829 years    <br>GDP per capita: 36126.4927 $    <br>Population: 8.199783 million,8199783.0,36126.4927,80.204,Country: New Zealand    <br>Life Expectancy: 80.204 years    <br>GDP per capita: 25185.00911 $    <br>Population: 4.115771 million,4115771.0,25185.00911
56.728,Country: Benin    <br>Life Expectancy: 56.728 years    <br>GDP per capita: 1441.284873 $    <br>Population: 8.078314 million,8078314.0,1441.284873,72.39,Country: Brazil    <br>Life Expectancy: 72.39 years    <br>GDP per capita: 9065.800825 $    <br>Population: 190.010647 million,190010647.0,9065.800825,64.062,Country: Bangladesh    <br>Life Expectancy: 64.062 years    <br>GDP per capita: 1391.253792 $    <br>Population: 150.448339 million,150448339.0,1391.253792,79.441,Country: Belgium    <br>Life Expectancy: 79.441 years    <br>GDP per capita: 33692.60508 $    <br>Population: 10.392226 million,10392226.0,33692.60508,,,,
50.728,Country: Botswana    <br>Life Expectancy: 50.728 years    <br>GDP per capita: 12569.85177 $    <br>Population: 1.639131 million,1639131.0,12569.85177,80.653,Country: Canada    <br>Life Expectancy: 80.653 years    <br>GDP per capita: 36319.23501 $    <br>Population: 33.390141 million,33390141.0,36319.23501,59.723,Country: Cambodia    <br>Life Expectancy: 59.723 years    <br>GDP per capita: 1713.778686 $    <br>Population: 14.131858 million,14131858.0,1713.778686,74.852,Country: Bosnia and Herzegovina    <br>Life Expectancy: 74.852 years    <br>GDP per capita: 7446.298803 $    <br>Population: 4.552198 million,4552198.0,7446.298803,,,,
52.295,Country: Burkina Faso    <br>Life Expectancy: 52.295 years    <br>GDP per capita: 1217.032994 $    <br>Population: 14.326203 million,14326203.0,1217.032994,78.553,Country: Chile    <br>Life Expectancy: 78.553 years    <br>GDP per capita: 13171.63885 $    <br>Population: 16.284741 million,16284741.0,13171.63885,72.961,Country: China    <br>Life Expectancy: 72.961 years    <br>GDP per capita: 4959.114854 $    <br>Population: 1318.683096 million,1318683096.0,4959.114854,73.005,Country: Bulgaria    <br>Life Expectancy: 73.005 years    <br>GDP per capita: 10680.79282 $    <br>Population: 7.322858 million,7322858.0,10680.79282,,,,
49.58,Country: Burundi    <br>Life Expectancy: 49.58 years    <br>GDP per capita: 430.0706916 $    <br>Population: 8.390505 million,8390505.0,430.0706916,72.889,Country: Colombia    <br>Life Expectancy: 72.889 years    <br>GDP per capita: 7006.580419 $    <br>Population: 44.22755 million,44227550.0,7006.580419,82.208,"Country: Hong Kong, China    <br>Life Expectancy: 82.208 years    <br>GDP per capita: 39724.97867 $    <br>Population: 6.980412 million",6980412.0,39724.97867,75.748,Country: Croatia    <br>Life Expectancy: 75.748 years    <br>GDP per capita: 14619.22272 $    <br>Population: 4.493312 million,4493312.0,14619.22272,,,,
50.43,Country: Cameroon    <br>Life Expectancy: 50.43 years    <br>GDP per capita: 2042.09524 $    <br>Population: 17.696293 million,17696293.0,2042.09524,78.782,Country: Costa Rica    <br>Life Expectancy: 78.782 years    <br>GDP per capita: 9645.06142 $    <br>Population: 4.133884 million,4133884.0,9645.06142,64.698,Country: India    <br>Life Expectancy: 64.698 years    <br>GDP per capita: 2452.210407 $    <br>Population: 1110.396331 million,1110396331.0,2452.210407,76.486,Country: Czech Republic    <br>Life Expectancy: 76.486 years    <br>GDP per capita: 22833.30851 $    <br>Population: 10.228744 million,10228744.0,22833.30851,,,,
44.741,Country: Central African Republic    <br>Life Expectancy: 44.741 years    <br>GDP per capita: 706.016537 $    <br>Population: 4.369038 million,4369038.0,706.016537,78.273,Country: Cuba    <br>Life Expectancy: 78.273 years    <br>GDP per capita: 8948.102923 $    <br>Population: 11.416987 million,11416987.0,8948.102923,70.65,Country: Indonesia    <br>Life Expectancy: 70.65 years    <br>GDP per capita: 3540.651564 $    <br>Population: 223.547 million,223547000.0,3540.651564,78.332,Country: Denmark    <br>Life Expectancy: 78.332 years    <br>GDP per capita: 35278.41874 $    <br>Population: 5.46812 million,5468120.0,35278.41874,,,,
50.651,Country: Chad    <br>Life Expectancy: 50.651 years    <br>GDP per capita: 1704.063724 $    <br>Population: 10.238807 million,10238807.0,1704.063724,72.235,Country: Dominican Republic    <br>Life Expectancy: 72.235 years    <br>GDP per capita: 6025.374752 $    <br>Population: 9.319622 million,9319622.0,6025.374752,70.964,Country: Iran    <br>Life Expectancy: 70.964 years    <br>GDP per capita: 11605.71449 $    <br>Population: 69.45357 million,69453570.0,11605.71449,79.313,Country: Finland    <br>Life Expectancy: 79.313 years    <br>GDP per capita: 33207.0844 $    <br>Population: 5.23846 million,5238460.0,33207.0844,,,,
65.152,Country: Comoros    <br>Life Expectancy: 65.152 years    <br>GDP per capita: 986.1478792 $    <br>Population: 0.71096 million,710960.0,986.1478792,74.994,Country: Ecuador    <br>Life Expectancy: 74.994 years    <br>GDP per capita: 6873.262326 $    <br>Population: 13.75568 million,13755680.0,6873.262326,59.545,Country: Iraq    <br>Life Expectancy: 59.545 years    <br>GDP per capita: 4471.061906 $    <br>Population: 27.499638 million,27499638.0,4471.061906,80.657,Country: France    <br>Life Expectancy: 80.657 years    <br>GDP per capita: 30470.0167 $    <br>Population: 61.083916 million,61083916.0,30470.0167,,,,
